,productTitle,originalPrice,price,sold,tagText,Discount_percentage
125,"Modern Living Room Chair with Pillow Cushion with Solid Wood Frame and Upholstery, Suitable for Living Room, Bedroom, Beige",0.0,115.92,0,100,-inf
126,"Cushions for Patio Furniture Replacement, Patio Furniture Cushions, Deep Seat Cushions, Outdoor Seat Cushions",449.85,263.91,15,100,41.333777925975326
127,Coffee Table Tv Cabinet White Kitchen Cabinets for Living Room Sets Furniture LED TV Stand for 55 Inch TV Bedroom Wall Shelves,208.94,115.19,30,100,44.86934048052073
128,Turn-N-Tube No Tool 3-Tier Entertainment TV Stands Multicolor Living Room Furniture,0.0,42.06,2,100,-inf
129,"Crosley Furniture Soho Turntable Stand, side table,Mahogany,17.75 x 21.75 x 39 inches,Suitable for living room, study, bedroom",0.0,115.28,0,100,-inf
130,"Set of 2 LED Nightstand with 2 Drawers, Bedside Table with Drawers for Bedroom Furniture, Side Bed Table with LED Light, White",213.67,111.74,14,100,47.7044039874573
131,"Rane Convertible Sofa Bed, Sofa Set Living Room Furniture",0.0,107.9,1,100,-inf
132,"Bedroom Furniture Metal Platform Bed Frame, Wooden Slats Support, No Springs Required, Easy To Assemble, White, Full",0.0,73.74,6,100,-inf
133,"Freestanding Shoe Cabinet with 3 Flip Drawers, 2 Layer Shoe Shelf, Natural Rattan Shoe Storage Organizer,(1 Piece, Oak)",0.0,131.76,0,100,-inf
134,Lazy Sofa Sofa Chair balcony Leisure sleep Sofa living room sofas Modern easy chair small Sofa with Stool Bedroom Furniture,0.0,94.75,53,10,-inf
135,Gaming Chair Cheap Desk Chair Executive PU Leather Rolling Swivel Computer Chair With Lumbar Support Grey Office Furniture,0.0,89.13,7,100,-inf
136,Vanity Desk With Stool Makeup Vanity Table Set 3 Color Lighting Modes Brightness Adjustable Dressers for Bedroom Furniture Girls,0.0,156.84,1,100,-inf
137,"8 Drawer Dresser Wide 47.2'' Long, Storage Chest of Drawer for 55'' TV Stand in Closet, Wooden Top Industrial Furniture",0.0,85.01,0,100,-inf
138,16 Drawer Dresser Women's Furniture Makeup Dressing Table Fabric Dresser for Bedroom Large Chest of Drawers Make Up Table Vanity,0.0,82.36,1,100,-inf
139,"7 Pieces Patio Furniture Set, Modular Patio Set Wicker Outdoor Sectional Sofa Set PE Rattan Wicker Patio Conversation Set",0.0,265.91,1,100,-inf
140,Makeup Vanity Organizer Makeup Vanity Desk With Mirror and Lights Dressers for Bedroom Furniture 5 Drawers & Storage Bag Dresser,0.0,148.59,1,100,-inf
141,ROJASOP Shoe Storage Cabinet 12-Tier Organizer 96 Pairs Extra Large Plastic Shoe Rack with Covers Portable,0.0,148.63,2,100,-inf
142,Makeup Vanity Desk With Large Lighted Mirror With Power Outlet and LED Strip Furniture for Bedroom Toiletries Dressing Table,0.0,165.14,2,100,-inf
143,3 Piece Patio Furniture Outdoor Bistro Set Metal Action Lounge Cushioned Chairs and Bistro Round Table Set,0.0,131.97,1,100,-inf
144,"5-Piece Wicker Patio Furniture Set, All-Weather Outdoor Conversation Set Sectional Sofa with Water Resistant Grey Thick Cushions",0.0,313.75,0,100,-inf
145,"Gately Traditional End Table with Electrical Outlets, Brown，Small side table, Exquisite ，suitable for living room and bedroom",0.0,351.62,0,100,-inf
146,"3 Pieces Patio Furniture Set, Includes Set of 2 Outdoor Acacia Wood Cushioned Chairs and Coffee Table，Patio Set",0.0,164.72,0,100,-inf
147,"Modular sofa, Beige linen modern 3 seater L shaped upholstered furniture, Reversible footrest with storage and pockets",0.0,208.23,1,100,-inf
148,Air Dresser LED White Vanity Set With Stool and Power Outlet Bedroom Furniture Home Makeup Vanity Table Girls(White) Furnitures,0.0,222.59,4,100,-inf
149,"Elegant White Shoe Storage Cabinet, Space-Saving Solution with Cubbies for 36 Pairs, 13""D x 23.5"" W x 72.5"" H,Furniture",0.0,139.27,0,100,-inf
